transaction_id,timestamp,datestamp,transaction_amount,currency,transaction_type_dr_cr,transaction_mode_channel_bank,cash_flag,transaction_type_ppi,transaction_mode_channel_ppi,transaction_status,wallet_balance_before,wallet_balance_after,source_of_funds_wallet,load_instrument_type,load_source_account_card_details,beneficiary_wallet_id_vpa,merchant_id,merchant_name,merchant_category_code,merchant_location,refund_chargeback_flag,customer_account_number,account_wallet_status,non_face_to_face_flag,pep_flag,hni_flag,minor_flag,customer_branch_ifsc_code,customer_cif_id,customer_cif_creation_date,annual_income,counterparty_account_number,counterparty_branch_ifsc_swift,customer_name,counterparty_name,sender_country_code,receiver_country_code,customer_current_risk_score,customer_type,customer_entity_type,account_category,account_type,account_wallet_opening_date,customer_occupation_industry,vkyc_flag,kyc_update_date,account_wallet_inoperative_date,source_of_funds,tax_residency,nationality,citizenship,residency,date_of_incorporation,place_of_incorporation,beneficial_owner_types,passive_nfe,address_registered_office,address_place_of_business,address_beneficial_owners,address_individual_customer,date_of_birth,father_spouse_name,identification_proof_doc_no,entity_identification_proof_doc_no,credit_summation_period,debit_summation_period,professional_experience_years,cif_beneficial_owners,name_beneficial_owners,mobile_number,pan,aadhaar_number,email_id,wallet_kyc_category,wallet_account_id,escrow_account_linked,transaction_limit_per_txn,daily_transaction_limit,monthly_transaction_limit,annual_transaction_limit,maximum_wallet_balance_limit,device_id_fingerprint,ip_address,geo_location_city_country,gps_coordinates_lat,gps_coordinates_lon,browser_app_information,session_id,authentication_method,vpn_flag,emulator_flag,customer_address_lat,customer_address_lon,is_aml,aml_typology,typology_group_id
TXNEJ5I0KRF20UQX1PN,07:03:42,01-01-2026,3221.17,INR,Cr,NEFT,N,,,Success,,,,,,,,,,,N,56632994535465,Active,N,N,N,N,HDFC093160,198368197539,05-11-2022,8280117,4185234699610510,PUNB029908,Shweta Chatterjee,Sanjay Sharma,IN,IN,High,Individual,Individual,NRO,Regular,30-10-2024,Salaried - Banking,Y,28-05-2024,,Business Income,India,Indian,Indian,Resident,,,,,,,,"57, NH Highway, Rourkela, Odisha - 590964",22-10-1969,Naveen Rao,AADHAAR-9642XXXX3699,,1277173.73,3943911.05,15,,,6836874859,SSHPV2283G,XXXX-XXXX-9160,shweta.chatterjee650@hotmail.com,,,,,,,,,f5b9ba5a4a7f60a6b36d513deb80b356,49.153.217.225,"Rourkela, IN",23.366707,75.922904,Firefox/125.0,06bf33b61c76587b8be559c2,PIN,N,N,23.366839,75.924713,0,,
TXN0MQCULAV4APF6PAP,14:33:13,12-01-2026,4839.72,INR,Dr,Mobile Banking,N,,,Success,,,,,,,MID5URVV77R6HW5,More Supermarket,6211,"Pune, Maharashtra",N,385213294958,Active,N,N,N,N,KKBK076837,748731106638,16-02-2018,197008197,196495175500,BKID065654,Om Services,Ankit Mehta,IN,IN,Medium,Non-Individual,Government Body,Fixed Deposit,BSBD,18-06-2023,IT Services,N,31-01-2022,,Trading Profits,India,Indian,,Resident,05-07-2017,"Pune, Maharashtra",Control through other means,N,"161 Corporate Park, Pune, Maharashtra - 448047","Plot 194, Industrial Area, Pune, Maharashtra","250, Residential Colony, Pune, Maharashtra",,,,,U13472WP1992PTC953916,3046689.8,5229135.64,,924328486642,Shweta Joshi,8540947564,MFHBJ3316W,,om737@outlook.com,,,,,,,,,32ab33eb16dff4323d3cb895e8376d96,203.221.213.188,"Pune, IN",18.511606,73.853893,Edge/124.0,f9d4f093f2aa018d758ba693,PIN,N,N,18.503538,73.860751,0,,
TXN4WW8WHSLS5310ZLX,18:24:11,19-02-2026,34231.68,INR,Dr,Branch Cash,Y,,,Success,,,,,,,,,,,N,45562587203,Active,Y,N,N,N,SBIN046853,429143084791,23-12-2015,2139019,9267056061948,UTIB087896,Sanjay Sharma,Jyoti Mehta,IN,IN,Medium,Individual,Individual,Savings,Premium,23-12-2024,Salaried - Banking,N,19-12-2020,,Rental Income,India,Indian,Indian,Resident,,,,,,,,"435, Ring Road, Pune, Maharashtra - 590481",07-10-1974,Rajesh Rao,AADHAAR-2602XXXX9706,,2125278.32,3663449.72,27,,,6489799820,HGYPZ0552G,XXXX-XXXX-1994,sanjay.sharma155@hotmail.com,,,,,,,,,cda294309ac078a69c921e03d64493fa,103.37.166.230,"Pune, IN",18.526621,73.853134,Safari/17.4,861923e1ec1c34cf5052e2e8,MPIN,N,N,18.535012,73.854167,0,,
TXNMWFCUNQXVT9R0J3B,18:49:44,04-01-2026,119586.42,INR,Dr,,N,Recharge,QR Scan,Success,5530.05,0,Bank Transfer,Debit Card,XXXX-XXXX-8100,bhavnamish52@ibl,,,,,N,55620770596983,Active,N,N,N,N,IOBA034447,847430878778,11-06-2017,427475,346454745473,ICIC086249,Vikram Chauhan,Bhavna Mishra,IN,IN,Low,Individual,Individual,Recurring Deposit,Regular,14-12-2017,Self-Employed - Retail,Y,07-03-2023,,Family Support,India,Indian,Indian,Resident,,,,,,,,"225, Ring Road, Kozhikode, Kerala - 126463",27-08-1973,Pranav Agarwal,AADHAAR-7925XXXX1156,,1285925.65,3643004.79,18,,,6417159498,GYQPF7879O,XXXX-XXXX-5013,vikram.chauhan609@rediffmail.com,Minimum KYC,WLT419557279624,ESC4015752020036,10000,10000,10000,120000,10000,a8e32e6c67ccc5c0e202831ab2532ad3,49.238.66.141,"Kozhikode, IN",23.086914,79.89943,v7.5.3,2bb151c99eb58d6ccd4bf6f3,MPIN,N,N,23.093855,79.900242,0,,
TXNXL29IZM3XL7J6J8M,09:40:44,27-12-2025,64968.41,INR,Dr,Branch Cash,Y,,,Success,,,,,,,MIDCZ78ULO0C1NR,DMart,4899,"Noida, Uttar Pradesh",N,4861985022204,Active,N,N,N,N,KKBK050700,984895263648,23-05-2019,530414,7778880432957787,PUNB064602,Neha Malhotra,Ravi Kapoor,IN,IN,Medium,Individual,Individual,Recurring Deposit,Corporate,21-02-2022,Freelancer,Y,13-09-2024,,Investment Returns,Other,Indian,Indian,Resident,,,,,,,,"62, Nehru Place, Noida, Uttar Pradesh - 746757",02-06-1968,Manoj Sen,AADHAAR-7685XXXX8089,,1896670.25,1606801.41,39,,,9067501759,DXXPR4022K,XXXX-XXXX-6430,neha.malhotra486@gmail.com,,,,,,,,,2e2b7daca26f62f01fa52808fb7cfabc,203.65.93.116,"Noida, IN",15.80579,80.848049,Chrome/124.0,ee398514ece30820ba6f0647,Password,N,N,15.81264,80.857236,0,,
TXN5X29G9Y5SRRGA8D4,09:38:34,31-12-2025,1758.45,INR,Cr,Cheque,N,,,Success,,,,,,,,,,,N,99118168939,Active,N,N,Y,N,BKID015171,548653779626,13-03-2020,67212326,52516477364305,IOBA053775,Sonal Deshmukh,Amit Rao,IN,IN,Low,Individual,Individual,Current,Premium,17-07-2023,Consultant,N,09-05-2020,,Family Support,India,Indian,Indian,Resident,,,,,,,,"215, Ring Road, Noida, Uttar Pradesh - 869892",28-11-1974,Vikram Kumar,AADHAAR-2254XXXX7907,,1462579.14,15343907.6,13,,,7403672428,NYMPF3899Q,XXXX-XXXX-7115,sonal.deshmukh37@yahoo.co.in,,,,,,,,,36b606c4baebde9773c4a2eecf2d4ffc,103.234.127.138,"Noida, IN",25.410481,82.875428,v9.1.0,b898063993ff8e49df29b38b,OTP,N,N,25.408693,82.868396,0,,
TXN827EGLBVTYN4TEW2,06:52:26,18-01-2026,24090.98,INR,Dr,Internet Banking,N,,,Success,,,,,,,,,,,N,903005654262,Active,N,N,N,N,BARB056397,146452191379,11-03-2020,489234147,20015073859995,HDFC033817,National Technologies,Shruti Kapoor,IN,IN,Low,Non-Individual,Partnership,Fixed Deposit,Basic,27-06-2022,Manufacturing,N,10-02-2021,,Government Grant,India,Indian,,Resident,19-03-2017,"Udaipur, Rajasthan",Shareholding > 25%,Y,"76 Corporate Park, Udaipur, Rajasthan - 161884","Plot 391, Industrial Area, Udaipur, Rajasthan","307, Residential Colony, Udaipur, Rajasthan",,,,,U38406UR2018PTC453650,320695.3,5828878.06,,440514091893,Lata Singh,7669508714,MLBAO0772Y,,national478@yahoo.co.in,,,,,,,,,397a2afe61e8a1f7e07ffb9d352a79f6,157.11.119.55,"Udaipur, IN",20.237059,79.388729,v9.1.0,717bee686d78cb4b13a314ef,Password,N,N,20.230005,79.379351,0,,
TXNQFCU3900WKTQJWVX,16:08:06,23-01-2026,36227.14,INR,Dr,NEFT,N,,,Success,,,,,,,,,,,N,83084812363424,Active,N,Y,Y,N,HDFC062946,342717059925,30-09-2020,56856298,340451967701,IOBA052270,Deepak Malhotra,Deepak Das,IN,IN,High,Individual,Individual,NRE,Premium,16-05-2024,Freelancer,Y,26-04-2024,,Salary,India,Indian,Indian,NRI,,,,,,,,"221, MG Road, Ludhiana, Punjab - 820940",25-04-1977,Vivek Mehta,AADHAAR-5860XXXX9871,,10073780.18,5385594.33,13,,,6286241801,DDGPF9908H,XXXX-XXXX-2513,deepak.malhotra392@hotmail.com,,,,,,,,,2b08106a84a995df2e2eabbbb370f533,117.209.255.250,"Ludhiana, IN",17.632528,75.799708,Firefox/125.0,3a624d58d4a4cf045473bd0a,MPIN,N,N,17.64198,75.791039,1,Money Mule Network,MULE_00133
TXN5TF0EG1CR70910SD,16:11:08,23-01-2026,8685.71,INR,Dr,UPI,N,,,Success,,,,,,ritutiwari91@upi,MIDMGMVBJGSNECK,IRCTC,5045,"Nizamabad, Telangana",N,38506089889081,Active,Y,N,N,N,BKID012528,774003103256,24-10-2018,390468,94083446221425,HDFC012197,Amit Pandey,Ritu Tiwari,IN,IN,Low,Individual,Individual,Salary,Corporate,11-07-2021,Self-Employed - Retail,N,28-01-2020,,Investment Returns,India,Indian,Indian,Resident,,,,,,,,"272, NH Highway, Nizamabad, Telangana - 110063",26-07-1970,Pranav Mishra,AADHAAR-3438XXXX3344,,403448.02,868204.33,3,,,8376770910,TTJPI9406D,XXXX-XXXX-1909,amit.pandey37@gmail.com,,,,,,,,,44526940880b2a9c1f4cf2b587d74e7b,49.124.236.97,"Nizamabad, IN",17.421489,80.34551,v9.1.0,061c816825a4e4779a8cd583,OTP,N,N,17.428155,80.33986,1,Structuring (Smurfing),STRUCT_00206
TXNN3Q0EWYZWX4EF0H3,22:00:02,13-12-2025,109631.66,INR,Dr,NEFT,N,,,Success,,,,,,,,,,,N,433320108396,Active,N,N,N,N,ICIC049774,733386266877,21-01-2021,193005,8984723729666,IOBA018671,Pooja Gupta,Kavita Iyer,IN,IN,Low,Individual,Individual,Recurring Deposit,Basic,22-02-2022,Lawyer,N,22-08-2024,,Salary,India,Indian,Indian,Resident,,,,,,,,"123, Ring Road, Dwarka, Delhi - 293984",26-01-1970,Anil Nair,AADHAAR-4283XXXX0141,,1365274.64,1401225.45,34,,,9332552446,XKBPJ1384U,XXXX-XXXX-5341,pooja.gupta101@hotmail.com,,,,,,,,,674eda92b0558ad555207ef824e86c80,122.217.125.224,"Dwarka, IN",22.203285,77.104314,v8.1.2,5f6e8a719d4491147140ff67,MPIN,N,N,22.212475,77.112692,0,,
