account_number,customer_cif,customer_branch_ifsc,account_category,account_type,account_status,account_opening_date,inoperative_status_date,credit_summation_period,debit_summation_period
12123873513110,304131642725,HDFC023021,Fixed Deposit,Regular,Active,15-07-2015,,17783691.96,5777934.26
8512732725459895,138351753697,PUNB033019,NRO,Basic,Frozen,20-03-2020,,0.0,0.0
6834327743759192,138351753697,PUNB033019,Fixed Deposit,BSBD,Active,21-04-2018,,1541296.71,2776001.64
7829912517486591,138351753697,PUNB033019,Recurring Deposit,Corporate,Active,21-04-2019,,1690064.53,2298041.01
86199166591,979237919461,SBIN064473,Current,Premium,Active,11-08-2023,,7092979.46,15128787.53
50836342024,979237919461,SBIN064473,Current,Corporate,Active,14-12-2023,,11106971.36,9435953.21
4162764163574068,925170371472,PUNB039001,Salary,Premium,Active,21-09-2019,,2233287.03,4002392.76
2186792873667867,925170371472,PUNB039001,NRE,Corporate,Closed,16-11-2024,,0.0,0.0
8643113728139929,925170371472,PUNB039001,NRE,Basic,Active,24-07-2022,,963337.03,3056206.35
88578657300829,324225003175,CNRB045351,Current,Premium,Active,02-03-2023,,7964142.89,17081145.95
5377304327155596,744690562756,PUNB063002,Savings,Premium,Active,27-10-2024,,849423.51,1091054.19
2245373762591258,744690562756,PUNB063002,Salary,Premium,Active,06-04-2022,,1901538.94,2558365.71
4896341578036896,744690562756,PUNB063002,NRE,BSBD,Active,25-01-2024,,2121928.04,4110309.25
35944028583641,439960859238,HDFC070437,NRO,Basic,Frozen,11-12-2024,,0.0,0.0
663150144759,732178290002,ICIC061438,Recurring Deposit,Regular,Active,15-08-2019,,1315552.21,1817581.68
559018678146,732178290002,ICIC061438,Salary,BSBD,Active,21-05-2024,,1599705.83,2176721.34
9131099671492,122667325400,UTIB034064,Recurring Deposit,Regular,Active,05-02-2024,,734733.18,2612219.26
2048132617981,592852787535,CNRB054170,Savings,Corporate,Active,06-03-2016,,1436694.92,5017163.31
