customer_cif,customer_name,customer_type,customer_entity_type,date_of_birth,father_spouse_name,nationality,citizenship,residency,tax_residency,pan,aadhaar,aadhaar_masked,identification_doc_no,mobile_number,email_id,address_individual,state,city,address_lat,address_lon,occupation_industry,annual_income,professional_experience_years,source_of_funds,_nri_country,customer_risk_score,pep_flag,hni_flag,minor_flag,non_face_to_face_flag,vkyc_flag,cif_creation_date,kyc_update_date,date_of_incorporation,place_of_incorporation,beneficial_owner_types,passive_nfe,address_registered_office,address_place_of_business,address_beneficial_owners,entity_identification_doc_no,cif_beneficial_owners,name_beneficial_owners
940840953632,Sanjay Pandey,Individual,Individual,08-06-1988,Harsh Das,Indian,Indian,Resident,India,VLBPT4884M,997495185292,XXXX-XXXX-4007,AADHAAR-5135XXXX0720,7850809076,sanjay.pandey216@outlook.com,"344, Station Road, Mysuru, Karnataka - 417181",Karnataka,Mysuru,20.995071,80.058963,Consultant,269236,20,Pension,,Low,N,N,N,N,N,26-04-2015,12-08-2022,,,,,,,,,,
117122923227,Rahul Singh,Individual,Individual,29-12-1971,Sanjay Pandey,Indian,Indian,Resident,India,OMLPI1326D,934253694523,XXXX-XXXX-9342,AADHAAR-4212XXXX1992,9975180950,rahul.singh514@outlook.com,"302, Gandhi Nagar, Saket, Delhi - 809658",Delhi,Saket,18.095051,80.127426,Engineer,2263622,17,Rental Income,,High,N,N,N,N,N,02-06-2021,11-11-2022,,,,,,,,,,
287017054471,Global Trading Co,Non-Individual,Society,,,Indian,,Resident,India,DNEJN1201T,,,,7153612294,global791@outlook.com,,Karnataka,Mysuru,20.165753,73.765765,Logistics,125429378,,Donations,,Medium,N,N,N,N,N,28-12-2014,15-08-2024,18-07-1991,"Mysuru, Karnataka",Control through other means,N,"108 Corporate Park, Mysuru, Karnataka - 579081","Plot 475, Industrial Area, Mysuru, Karnataka","82, Residential Colony, Mysuru, Karnataka",U90204OM2015PTC775116,239891385101,Anita Mehta
697493790038,Kiran Agarwal,Individual,Individual,12-12-2002,Sanjay Rao,Indian,Indian,Resident,India,GOZPP7592W,524411283021,XXXX-XXXX-6264,AADHAAR-4841XXXX6705,8197744361,kiran.agarwal278@hotmail.com,"287, NH Highway, Siliguri, West Bengal - 935279",West Bengal,Siliguri,16.349645,82.516737,Accountant,457327,34,Agriculture Income,,Low,N,N,N,Y,N,25-10-2023,03-02-2024,,,,,,,,,,
853245194538,Bhavna Sharma,Individual,Individual,24-08-1979,Naveen Singh,Indian,Indian,Resident,India,STAPZ6010E,892542444297,XXXX-XXXX-1325,AADHAAR-3180XXXX3636,6046692824,bhavna.sharma910@gmail.com,"444, NH Highway, Noida, Uttar Pradesh - 198460",Uttar Pradesh,Noida,20.924974,76.750591,Consultant,2308015,29,Salary,,Medium,N,N,N,Y,Y,14-12-2023,06-05-2024,,,,,,,,,,
404212388703,Swati Kapoor,Individual,Individual,10-05-1970,Sanjay Kumar,Indian,Indian,Resident,India,QUZPW2368X,629299466794,XXXX-XXXX-7935,AADHAAR-3357XXXX5031,9461104219,swati.kapoor57@outlook.com,"222, Ring Road, Pune, Maharashtra - 839239",Maharashtra,Pune,18.478245,73.865217,Salaried - Banking,254825,7,Agriculture Income,,Low,N,N,N,N,N,05-02-2019,21-07-2024,,,,,,,,,,
369567029517,Anita Reddy,Individual,Individual,24-10-2008,Sachin Das,Indian,Indian,Resident,India,BFYPV4395Y,693672211107,XXXX-XXXX-7156,AADHAAR-7224XXXX8939,9030742022,anita.reddy756@rediffmail.com,"329, Nehru Place, Varanasi, Uttar Pradesh - 956752",Uttar Pradesh,Varanasi,18.25002,73.462748,Consultant,252868,0,Business Income,,Low,N,N,Y,Y,N,22-02-2019,20-02-2023,,,,,,,,,,
660527203252,Vivek Malhotra,Individual,Individual,01-07-1982,Sachin Malhotra,Indian,Indian,Resident,India,QVBPO4761L,306670387092,XXXX-XXXX-3247,AADHAAR-7476XXXX4855,6113268417,vivek.malhotra602@yahoo.co.in,"397, Nehru Place, Dwarka, Delhi - 548730",Delhi,Dwarka,21.599844,74.655033,Self-Employed - Retail,799868,3,Rental Income,,High,N,N,N,N,N,28-10-2019,31-12-2023,,,,,,,,,,
397744233667,Aditi Chatterjee,Individual,Individual,16-03-1981,Suresh Mehta,Indian,Indian,Resident,India,WRNPD3766C,224210677926,XXXX-XXXX-8990,AADHAAR-4322XXXX3491,6475863282,aditi.chatterjee867@gmail.com,"342, MG Road, Madurai, Tamil Nadu - 290339",Tamil Nadu,Madurai,19.633151,76.259871,Retired,1737819,24,Pension,,Medium,N,N,N,Y,N,27-11-2021,19-12-2024,,,,,,,,,,
582149202067,Silver Industries,Non-Individual,Government Body,,,Indian,,Resident,India,MECCX4872Y,,,,8295415295,silver542@yahoo.co.in,,Delhi,New Delhi,28.587299,77.186027,Pharmaceuticals,123891342,,Business Revenue,,Medium,N,N,N,N,N,30-04-2008,20-11-2009,02-01-2004,"New Delhi, Delhi",Shareholding > 25%,N,"142 Corporate Park, New Delhi, Delhi - 145769","Plot 332, Industrial Area, New Delhi, Delhi","866, Residential Colony, New Delhi, Delhi",U46237JG2021PTC573445,952594701754,Sneha Sen
