wallet_id,customer_cif,wallet_kyc_category,wallet_status,wallet_opening_date,escrow_account_linked,per_txn_limit,daily_txn_limit,monthly_txn_limit,annual_txn_limit,max_balance_limit,linked_bank_account
WLT828385596948,628726338241,Minimum KYC,Closed,11-01-2023,ESC5998882728867,10000,10000,10000,120000,10000,75121085643
WLT563263596328,755047676326,Full KYC,Active,20-12-2024,ESC8649230311623,200000,200000,200000,2400000,200000,76366766969
WLT173321242933,397109192186,Full KYC,Active,08-03-2023,ESC9117520755123,200000,200000,200000,2400000,200000,9135301301200
WLT762328194147,947474316742,Minimum KYC,Closed,15-08-2023,ESC7123352274276,10000,10000,10000,120000,10000,89902637340
WLT854143912785,157749921327,Full KYC,Active,08-06-2024,ESC5564317053068,200000,200000,200000,2400000,200000,679606301041
WLT738523261906,902980542925,Full KYC,Active,06-04-2018,ESC1090561211308,200000,200000,200000,2400000,200000,19341876628
WLT201317011012,899142018724,Full KYC,Active,23-08-2022,ESC9856211981947,200000,200000,200000,2400000,200000,43237740615
WLT918307311682,455612289552,Full KYC,Active,04-12-2019,ESC2611412245514,200000,200000,200000,2400000,200000,59567257476910
WLT928022327649,487787247835,Minimum KYC,Active,09-08-2023,ESC9077993722444,10000,10000,10000,120000,10000,43814128220209
WLT243984272266,385488966427,Minimum KYC,Active,02-11-2020,ESC3362937421778,10000,10000,10000,120000,10000,71546851036953
WLT059779608963,201134522978,Full KYC,Active,08-08-2023,ESC5807744913453,200000,200000,200000,2400000,200000,19651104691
WLT707182641023,539491275567,Full KYC,Closed,15-09-2023,ESC6543433745589,200000,200000,200000,2400000,200000,80036211757
WLT745625521583,431818184320,Minimum KYC,Active,19-02-2023,ESC5839475530641,10000,10000,10000,120000,10000,43306380220
WLT425562190126,472575844740,Minimum KYC,Active,12-02-2020,ESC2292876503147,10000,10000,10000,120000,10000,9216165193370
WLT804105055542,513218478374,Minimum KYC,Closed,13-03-2022,ESC1000046306488,10000,10000,10000,120000,10000,28778255846
WLT361525448771,830836537908,Full KYC,Active,05-10-2015,ESC3521184076834,200000,200000,200000,2400000,200000,19370715684
WLT644593363707,121874504986,Full KYC,Active,09-01-2023,ESC9093298020577,200000,200000,200000,2400000,200000,4262086973941
WLT540684278387,343060444571,Minimum KYC,Active,16-02-2021,ESC4745089611422,10000,10000,10000,120000,10000,84443644393
WLT959242388889,132539120871,Minimum KYC,Active,20-10-2024,ESC3332121606990,10000,10000,10000,120000,10000,37039235478123
WLT352861695542,722692257998,Minimum KYC,Active,17-08-2024,ESC1696450716129,10000,10000,10000,120000,10000,4989176012144
WLT116392901568,375070543509,Full KYC,Active,06-08-2024,ESC2564698984029,200000,200000,200000,2400000,200000,66966629113
WLT781721215653,836267790664,Full KYC,Suspended,15-09-2024,ESC5949786638384,200000,200000,200000,2400000,200000,2530521762323546
WLT510756463101,335758857270,Minimum KYC,Suspended,04-01-2024,ESC6383153276017,10000,10000,10000,120000,10000,48439299325
WLT297610314786,486480532763,Full KYC,Active,16-03-2022,ESC6555705323829,200000,200000,200000,2400000,200000,30097019668321
WLT787791757185,448607518272,Full KYC,Active,29-01-2021,ESC9687384229071,200000,200000,200000,2400000,200000,41869555398
WLT487888393067,945432757920,Minimum KYC,Active,19-02-2021,ESC3353825817003,10000,10000,10000,120000,10000,266239995330
WLT740562006083,574104249207,Minimum KYC,Suspended,31-12-2016,ESC5961541042917,10000,10000,10000,120000,10000,62095992181198
WLT529917224129,331983813014,Full KYC,Active,25-04-2016,ESC2590326207276,200000,200000,200000,2400000,200000,45170549567553
WLT150308250837,337484093561,Full KYC,Active,06-12-2024,ESC8479269327403,200000,200000,200000,2400000,200000,24249193906323
WLT401121697875,898984704887,Minimum KYC,Active,24-10-2023,ESC7598516055793,10000,10000,10000,120000,10000,29438465937
WLT272019928070,269821086158,Minimum KYC,Active,15-03-2024,ESC3192259215997,10000,10000,10000,120000,10000,57644795577567
WLT236872497218,325913804578,Minimum KYC,Active,20-02-2020,ESC4033119113203,10000,10000,10000,120000,10000,85376883977
WLT888148443901,163537448115,Minimum KYC,Closed,16-01-2020,ESC2492774072500,10000,10000,10000,120000,10000,94481219209155
WLT288468826049,355239923397,Full KYC,Closed,27-01-2025,ESC1069637122914,200000,200000,200000,2400000,200000,811620111911
WLT407959008514,946604831802,Full KYC,Active,13-01-2019,ESC1589796446340,200000,200000,200000,2400000,200000,55987649265242
WLT334013262165,982174028812,Full KYC,Suspended,13-07-2023,ESC5373910549106,200000,200000,200000,2400000,200000,94084820489131
WLT440669249934,732178290002,Full KYC,Active,03-11-2015,ESC5471106199542,200000,200000,200000,2400000,200000,69559714740
WLT838883420706,376960224035,Full KYC,Active,11-11-2020,ESC5207678494295,200000,200000,200000,2400000,200000,921069698722
WLT332988672455,745535057242,Full KYC,Active,04-04-2024,ESC4307967260031,200000,200000,200000,2400000,200000,54916952836345
WLT464118486938,822114899586,Minimum KYC,Active,27-10-2022,ESC4977417130795,10000,10000,10000,120000,10000,65378318916581
WLT604255417874,720057599805,Full KYC,Active,22-03-2022,ESC7415329732454,200000,200000,200000,2400000,200000,30079819036359
WLT129836829090,488179682658,Minimum KYC,Active,22-06-2017,ESC4377186952132,10000,10000,10000,120000,10000,7739395334197
WLT492641720026,168999427094,Full KYC,Active,23-11-2023,ESC9182801906191,200000,200000,200000,2400000,200000,61729896889963
WLT185088238715,829652435145,Full KYC,Active,09-11-2021,ESC5466315120662,200000,200000,200000,2400000,200000,71237045676
WLT513137247274,409220161339,Minimum KYC,Active,22-03-2018,ESC7926754634637,10000,10000,10000,120000,10000,993116166095
WLT621120473407,636331215042,Minimum KYC,Active,12-01-2024,ESC7392522279283,10000,10000,10000,120000,10000,878273615572
WLT269336682624,505399428524,Minimum KYC,Active,06-01-2020,ESC4085939987217,10000,10000,10000,120000,10000,9187680694400154
WLT295208580363,426378350328,Full KYC,Closed,27-01-2023,ESC3132585290638,200000,200000,200000,2400000,200000,80688062336
WLT649526757649,730632199784,Full KYC,Active,23-06-2024,ESC1566277504743,200000,200000,200000,2400000,200000,949027710156
WLT836534804312,898157599762,Minimum KYC,Active,13-08-2020,ESC7069544397370,10000,10000,10000,120000,10000,827701539211
WLT566096727513,577500845921,Minimum KYC,Active,21-04-2023,ESC6287287350116,10000,10000,10000,120000,10000,8369117290882
WLT038340519245,988046114738,Minimum KYC,Active,26-07-2024,ESC4284313111389,10000,10000,10000,120000,10000,1943907057567
WLT852532928596,847896830251,Minimum KYC,Active,17-03-2020,ESC3371265289903,10000,10000,10000,120000,10000,83666197831
WLT699637837437,535132952580,Full KYC,Active,22-10-2022,ESC8588655357745,200000,200000,200000,2400000,200000,16542592282
WLT235165086836,468952652590,Minimum KYC,Active,27-05-2023,ESC6943148842957,10000,10000,10000,120000,10000,267550899437
WLT577681052699,668210418537,Full KYC,Active,30-07-2023,ESC7099726725928,200000,200000,200000,2400000,200000,114890017466
WLT862381037004,227256551820,Minimum KYC,Active,06-05-2023,ESC8656452676930,10000,10000,10000,120000,10000,9619108216407
WLT759181595944,623539013982,Full KYC,Active,06-11-2019,ESC9958857501108,200000,200000,200000,2400000,200000,9234487750088
WLT508321998755,632191636332,Minimum KYC,Active,03-07-2018,ESC5473087045858,10000,10000,10000,120000,10000,73473124475
WLT192055090685,433335731244,Full KYC,Active,10-03-2019,ESC6178625678396,200000,200000,200000,2400000,200000,9747049273955873
