account_number,customer_cif,customer_branch_ifsc,account_category,account_type,account_status,account_opening_date,inoperative_status_date,credit_summation_period,debit_summation_period
21955574410087,794695104831,HDFC041754,Savings,Premium,Active,08-08-2019,,854860.23,2968398.8
21383267247965,794695104831,HDFC041754,Savings,Premium,Active,22-06-2018,,1644912.12,2556957.39
242560291266,742395798557,KKBK061223,Salary,BSBD,Active,05-05-2022,,589769.45,1763537.22
48953286670777,292085902906,HDFC053164,Fixed Deposit,Regular,Active,15-10-2021,,4105749.99,963717.74
9357986825181815,538445601393,PUNB089871,Salary,BSBD,Closed,26-02-2018,,0.0,0.0
34227665050,128904137467,SBIN037912,Savings,Basic,Active,02-01-2024,,1843726.58,2528805.47
83486093989151,975567584922,BARB030617,Salary,Premium,Active,30-04-2024,,1096361.82,1223986.28
951649230434,973001796990,CNRB038918,Salary,Regular,Active,06-07-2024,,741010.01,1462073.68
5914859512113,973001796990,CNRB038918,Savings,BSBD,Active,19-11-2024,,2035962.69,2129173.26
9299838634927,199943049672,UTIB020594,Recurring Deposit,Basic,Active,15-02-2023,,286325.58,901243.6
9235408796159,199943049672,UTIB020594,Savings,Regular,Active,11-04-2020,,298480.78,3044591.9
31160491711664,933786795023,HDFC045599,Salary,Regular,Active,27-03-2023,,1094165.56,1527171.67
56489275152630,933786795023,HDFC045599,Savings,Premium,Active,11-06-2019,,3259843.3,3979322.44
936002118571,524834551942,ICIC080542,Savings,Premium,Active,24-04-2022,,890230.3,2220580.35
98399881134,898734675667,CNRB018710,Savings,Basic,Active,03-04-2024,,2409261.94,3848391.01
9164181889378,493049218308,UTIB075235,Savings,Regular,Active,26-10-2019,,2049391.25,3145845.41
10579615508,325099757838,SBIN019785,Savings,Premium,Active,16-04-2021,,3786037.14,4385216.74
57309344665,618610719387,SBIN025990,Salary,BSBD,Active,30-06-2022,,1078944.21,4333072.24
369734407593,924750859951,IOBA026768,Current,Corporate,Active,20-11-2019,,2369073.52,9461933.14
7823107521141,924750859951,IOBA026768,Current,Regular,Active,04-03-2016,,14821301.89,9950173.83
60762683067,420142077431,KKBK019356,Recurring Deposit,Regular,Active,01-04-2023,,498714.71,1657274.19
27247338186553,420142077431,KKBK019356,Savings,Regular,Active,08-02-2021,,504194.54,2190337.38
1086506198253,580030035342,CNRB049587,Savings,BSBD,Active,12-12-2016,,2021102.07,2414033.21
6684460792172,580030035342,CNRB049587,Savings,Basic,Active,14-04-2024,,1215974.97,1449024.06
39958152903283,342253202781,HDFC041951,Savings,BSBD,Active,22-04-2020,,1516910.02,1746118.2
66402238694874,342253202781,HDFC041951,Fixed Deposit,Basic,Active,03-11-2020,,1881235.25,2914095.42
69273047994918,118212024877,HDFC021973,Fixed Deposit,BSBD,Active,07-07-2024,,1806677.93,1445340.18
57652807119544,118212024877,HDFC021973,Current,BSBD,Active,21-02-2024,,1491852.95,2898027.93
27600947373,773350518711,SBIN055441,Salary,Regular,Active,01-09-2022,,255058.79,2220380.06
8716100705114496,472907235387,PUNB012217,Fixed Deposit,Corporate,Active,31-01-2018,,1616739.13,5223368.13
5417153708732455,472907235387,PUNB012217,Current,Corporate,Active,22-07-2017,,1376194.93,976688.63
239999619897,882985460655,KKBK066176,Savings,BSBD,Active,21-06-2020,,1412733.86,2146484.42
9281769540817,698870655646,UTIB062255,Savings,Premium,Active,19-12-2020,,217073.44,3249197.96
9185248508606,698870655646,UTIB062255,Salary,Basic,Active,17-08-2021,,1131209.26,2861616.63
68984937650149,175178937402,HDFC049384,Current,Basic,Active,23-07-2023,,1705281.24,7383510.78
471043264524,239397949975,KKBK050603,Savings,Premium,Active,13-06-2021,,1556399.78,1796012.32
62465765292,239397949975,KKBK050603,Recurring Deposit,Basic,Active,15-12-2019,,308462.96,5044889.8
9188888688749,962253449747,UTIB079160,Savings,Basic,Active,22-09-2021,,1572799.46,2085337.94
88285580211254,349635520956,KKBK027264,Current,Premium,Dormant,20-12-2024,26-12-2024,115608.36,176220.92
3906724442931,552126147876,CNRB031788,Salary,Regular,Active,29-03-2023,,3269920.72,643893.86
9199365012022,957989786003,UTIB019710,Recurring Deposit,BSBD,Active,13-05-2022,,650646.91,2220216.32
272804251846,427979789165,ICIC072700,Current,Regular,Active,24-01-2020,,4907563.75,6341936.03
9269624957809,961825242710,UTIB060765,Current,Basic,Active,30-10-2023,,578637.6,1115453.84
9133416244173,961825242710,UTIB060765,Savings,Premium,Active,12-10-2016,,2474115.53,3083901.99
46005929096,356175208746,BKID011037,Fixed Deposit,Basic,Active,22-09-2017,,191693.87,2434580.89
58740079642534,286757508076,HDFC017458,Current,Basic,Active,23-12-2023,,905708.57,2346878.56
65786857705135,286757508076,HDFC017458,Savings,Premium,Active,14-01-2022,,313933.98,1912043.55
29554442418723,202802468872,IOBA080373,Savings,BSBD,Active,01-08-2023,,623017.31,954059.04
978206059747,563718601548,IOBA057743,Current,Premium,Active,27-11-2024,,1621451.14,2374169.94
1633670555567073,966862384610,PUNB038799,Salary,Premium,Active,14-09-2024,,378885.37,631797.43
4046052892309707,966862384610,PUNB038799,Savings,Basic,Active,19-12-2023,,295531.39,1623604.83
96706579775056,397109192186,KKBK093008,NRE,Regular,Active,16-09-2019,,2511118.95,3806253.8
5146006476605,397109192186,KKBK093008,NRE,Premium,Active,23-03-2019,,784388.93,2246938.3
83052427791,871428545290,SBIN037672,Savings,Regular,Active,02-03-2024,,551318.46,457485.75
1238732866194229,448535696130,PUNB015196,Savings,Premium,Active,25-04-2023,,1654708.5,4136289.93
751094094727,384616220940,BARB071604,Recurring Deposit,BSBD,Dormant,21-09-2018,16-12-2018,6379.24,0.0
460623490328,362494979597,IOBA054419,Current,Regular,Active,09-04-2022,,2009100.42,4673948.93
6729863541888,821500873854,KKBK037063,Salary,Premium,Active,21-10-2024,,228744.79,1282737.74
88454932149477,821500873854,KKBK037063,Current,Basic,Active,18-03-2024,,1304417.37,2460197.39
6769299792984975,471023581202,PUNB071527,Savings,Basic,Active,05-10-2021,,1018648.43,3056016.05
22926079916,197267014080,IOBA014272,Savings,Regular,Active,05-03-2020,,438510.77,1199496.35
768993745602,188137560389,ICIC056721,Fixed Deposit,Corporate,Active,10-12-2024,,390650.46,5593157.53
392483169418,188137560389,ICIC056721,Fixed Deposit,Regular,Active,02-07-2023,,5122695.72,882532.1
78600790035603,780458408943,BKID094897,Salary,Basic,Active,07-03-2023,,506175.69,3482790.8
7153568841199,780458408943,BKID094897,Savings,BSBD,Active,04-06-2024,,1264860.26,3566227.33
22153594587532,628409369928,BKID081931,Recurring Deposit,BSBD,Dormant,22-02-2024,27-02-2025,60187.41,77011.5
6321044762707,875670521927,CNRB027632,Recurring Deposit,Basic,Active,30-04-2023,,569692.9,578128.72
61267342551,312933912166,KKBK043605,Fixed Deposit,Regular,Active,16-01-2020,,1117507.21,6315649.79
422230148380,312933912166,KKBK043605,Savings,Basic,Active,13-05-2020,,698160.86,3322412.39
9227673378272,826858616540,UTIB052252,Salary,BSBD,Dormant,20-12-2021,30-01-2022,0.0,165097.19
33325868943,830077101394,IOBA010561,Current,Premium,Active,30-10-2024,,1182630.4,2958946.09
4581274123188,830077101394,IOBA010561,Salary,Basic,Active,19-10-2024,,1201546.38,1294384.53
28798486623,207157358355,KKBK019786,Salary,Premium,Active,28-08-2024,,711085.81,958334.57
7189343515634,962218814920,CNRB067292,Current,Regular,Active,18-07-2024,,6106840.23,12742590.76
677937834888,388335837406,BKID055762,Savings,Basic,Active,14-08-2024,,1181159.58,3043729.77
48924737298,388335837406,BKID055762,Savings,BSBD,Active,17-06-2023,,561779.78,1417626.63
9201371749583,918213250911,UTIB053229,Salary,Regular,Active,24-04-2017,,2171371.2,1883234.16
36103930558339,280981065296,IOBA028508,Savings,BSBD,Active,18-06-2024,,944865.25,1848403.39
635597339478,280981065296,IOBA028508,Fixed Deposit,Regular,Active,02-02-2023,,1171395.47,2886906.33
85757583030264,598818299877,HDFC023907,Recurring Deposit,BSBD,Active,29-06-2024,,116549.15,627778.81
