wallet_id,customer_cif,wallet_kyc_category,wallet_status,wallet_opening_date,escrow_account_linked,per_txn_limit,daily_txn_limit,monthly_txn_limit,annual_txn_limit,max_balance_limit,linked_bank_account
WLT705686372790,120479081055,Full KYC,Suspended,14-08-2023,ESC5046514276775,200000,200000,200000,2400000,200000,834643499966
WLT924374738274,331119470295,Full KYC,Active,23-11-2019,ESC2219555885072,200000,200000,200000,2400000,200000,65896050753953
WLT940017546896,348195837372,Minimum KYC,Active,31-12-2024,ESC4867299017935,10000,10000,10000,120000,10000,91836061361
WLT923382706423,821906673446,Full KYC,Active,30-01-2023,ESC6907691479085,200000,200000,200000,2400000,200000,9247165892269741
WLT692094394913,438792146580,Full KYC,Active,28-12-2024,ESC1028977605354,200000,200000,200000,2400000,200000,3640016923414
WLT049595050130,638863685000,Full KYC,Active,05-06-2021,ESC3607403113319,200000,200000,200000,2400000,200000,24677876760
WLT763170981294,867589450881,Minimum KYC,Active,10-08-2024,ESC3321457448411,10000,10000,10000,120000,10000,29558107308
WLT359876478317,526205393054,Minimum KYC,Active,23-08-2021,ESC2157255502934,10000,10000,10000,120000,10000,28283244178926
WLT666204932119,688057095874,Full KYC,Active,19-06-2024,ESC5036960281308,200000,200000,200000,2400000,200000,68365267041260
WLT947208002731,139507525172,Full KYC,Active,04-03-2022,ESC4903117113415,200000,200000,200000,2400000,200000,98629098045
WLT800998957166,433361460217,Full KYC,Active,18-03-2019,ESC5501103376311,200000,200000,200000,2400000,200000,9179305810360
WLT504415584518,592682778421,Full KYC,Closed,16-08-2018,ESC2786271372273,200000,200000,200000,2400000,200000,801425608829
WLT298752485614,283721580779,Minimum KYC,Active,07-06-2023,ESC5282191470488,10000,10000,10000,120000,10000,102490163342
WLT452970522434,970098008916,Minimum KYC,Active,19-03-2022,ESC4314254027432,10000,10000,10000,120000,10000,6596239425972
WLT787342739045,990943453762,Full KYC,Active,01-02-2023,ESC2867854473235,200000,200000,200000,2400000,200000,1387503947178
WLT504303754838,929863985872,Full KYC,Active,29-04-2024,ESC5241223851514,200000,200000,200000,2400000,200000,69559714740
WLT197859527982,211244545066,Full KYC,Active,23-12-2019,ESC7558489909309,200000,200000,200000,2400000,200000,366587348472
WLT146538258828,989502767451,Minimum KYC,Active,29-05-2024,ESC7444134159955,10000,10000,10000,120000,10000,75604863917513
WLT935717443815,504484526057,Full KYC,Active,05-03-2019,ESC6537649118648,200000,200000,200000,2400000,200000,9181920534480
WLT475509497328,965392644206,Full KYC,Active,23-06-2020,ESC6600684271228,200000,200000,200000,2400000,200000,181893677715
WLT013590999428,904350946688,Full KYC,Active,20-01-2021,ESC3958856491718,200000,200000,200000,2400000,200000,942610112721
WLT342825059177,139335292878,Full KYC,Closed,24-08-2020,ESC7791313402963,200000,200000,200000,2400000,200000,8329745233365
WLT906203422414,330214324888,Minimum KYC,Active,10-11-2017,ESC6704404275276,10000,10000,10000,120000,10000,509117279660
WLT406461914868,121951003398,Minimum KYC,Active,05-04-2021,ESC5696814452984,10000,10000,10000,120000,10000,9149091404115
WLT573451570223,438575379525,Minimum KYC,Active,09-05-2024,ESC1934582450069,10000,10000,10000,120000,10000,78811795154
WLT185430783691,809019854091,Minimum KYC,Active,30-07-2022,ESC8113079898768,10000,10000,10000,120000,10000,19600275326381
WLT186826938185,422498908131,Minimum KYC,Active,19-09-2021,ESC5911879802623,10000,10000,10000,120000,10000,45133088190
WLT914390670920,222563016287,Minimum KYC,Active,30-04-2021,ESC3764394090445,10000,10000,10000,120000,10000,4801166920748
WLT441298988532,803626240784,Minimum KYC,Active,07-08-2019,ESC6222408391573,10000,10000,10000,120000,10000,9208875367606
WLT047811100489,975360117095,Minimum KYC,Suspended,14-10-2024,ESC2838018536909,10000,10000,10000,120000,10000,67855073202518
WLT953605484896,332761995746,Full KYC,Closed,16-11-2024,ESC7375113273273,200000,200000,200000,2400000,200000,924872071603
WLT930712453303,272958542410,Full KYC,Active,14-05-2024,ESC2579862380990,200000,200000,200000,2400000,200000,26252143283978
WLT537428506820,154179612284,Full KYC,Active,20-04-2024,ESC3583802420988,200000,200000,200000,2400000,200000,51619352155
WLT096391729746,486480532763,Full KYC,Closed,17-03-2022,ESC2616184917256,200000,200000,200000,2400000,200000,11374060382
WLT248097670422,644379634590,Full KYC,Closed,26-04-2022,ESC5106002368738,200000,200000,200000,2400000,200000,655869947571
WLT302235811365,749137053957,Full KYC,Active,24-05-2019,ESC7756662395293,200000,200000,200000,2400000,200000,28918444981
WLT821129732751,258702260396,Full KYC,Active,12-10-2015,ESC7681368442155,200000,200000,200000,2400000,200000,6279295823317
WLT881599654403,763992842529,Full KYC,Active,05-11-2022,ESC4031369640104,200000,200000,200000,2400000,200000,9256268582416
WLT557044769279,145858808062,Minimum KYC,Active,22-02-2023,ESC6616002711452,10000,10000,10000,120000,10000,35002660084
WLT032369734779,495621294680,Full KYC,Active,07-12-2024,ESC6542308083066,200000,200000,200000,2400000,200000,9161116375449
WLT578542826208,890822967397,Full KYC,Active,16-06-2022,ESC3024630503116,200000,200000,200000,2400000,200000,9218816296849
WLT930644818952,490702330959,Minimum KYC,Active,05-12-2021,ESC5024780936134,10000,10000,10000,120000,10000,8985580034027
WLT022232032157,401877905375,Full KYC,Active,27-07-2024,ESC7068658918872,200000,200000,200000,2400000,200000,41435685401
WLT965378709806,470395495484,Minimum KYC,Active,02-08-2024,ESC7199687969077,10000,10000,10000,120000,10000,52850616754
WLT507249617294,254355158987,Minimum KYC,Active,03-12-2023,ESC1848671227374,10000,10000,10000,120000,10000,31233396794571
WLT348788200855,300465034196,Full KYC,Active,08-04-2024,ESC9033269922346,200000,200000,200000,2400000,200000,79942098402
WLT291988261715,277306787253,Minimum KYC,Active,26-04-2023,ESC7205605355271,10000,10000,10000,120000,10000,9232806913284
WLT030656297603,398766398740,Full KYC,Active,09-04-2020,ESC3697732127425,200000,200000,200000,2400000,200000,659157689962
WLT577465454900,737683573862,Full KYC,Active,12-07-2018,ESC2515852138346,200000,200000,200000,2400000,200000,56737881562
WLT921525098137,952380130444,Full KYC,Active,30-11-2021,ESC2320519815697,200000,200000,200000,2400000,200000,48376484395012
WLT911846727518,314483304091,Full KYC,Active,06-02-2018,ESC2065061339135,200000,200000,200000,2400000,200000,3676392677354
WLT181785031403,485550868940,Full KYC,Active,24-11-2021,ESC6193720394963,200000,200000,200000,2400000,200000,99816590211
WLT102732609957,328941905237,Full KYC,Active,29-05-2024,ESC4914125325818,200000,200000,200000,2400000,200000,435692169006
WLT046635936023,589100206342,Full KYC,Active,13-01-2019,ESC4019417685199,200000,200000,200000,2400000,200000,9527926025215867
WLT044932827955,942263315083,Full KYC,Active,21-07-2024,ESC9458484400762,200000,200000,200000,2400000,200000,679606301041
WLT718809246815,722798122833,Full KYC,Active,19-12-2024,ESC8695027248893,200000,200000,200000,2400000,200000,56223651435
WLT160626060765,872488583738,Full KYC,Active,29-08-2024,ESC6075874263260,200000,200000,200000,2400000,200000,756016846022
WLT873543489992,865537726229,Full KYC,Active,02-06-2024,ESC6995420450748,200000,200000,200000,2400000,200000,76418549405
WLT936901166365,511112171660,Minimum KYC,Active,08-11-2024,ESC3413303309783,10000,10000,10000,120000,10000,28678702053
WLT687667159644,128565433616,Full KYC,Active,30-07-2020,ESC1037738672677,200000,200000,200000,2400000,200000,4001605507571404
WLT650592484146,433174053930,Full KYC,Active,28-05-2022,ESC4249599760124,200000,200000,200000,2400000,200000,4662189267638876
WLT935665546931,133574983470,Minimum KYC,Closed,08-12-2019,ESC3698823270377,10000,10000,10000,120000,10000,27132365787795
WLT315345652230,792232849414,Full KYC,Active,06-02-2022,ESC8703071941210,200000,200000,200000,2400000,200000,443526840463
WLT364257525879,171727606899,Minimum KYC,Active,31-10-2022,ESC1233317573178,10000,10000,10000,120000,10000,9175471425063
WLT030861703283,429807732751,Minimum KYC,Active,22-04-2024,ESC4044682703034,10000,10000,10000,120000,10000,14751523808909
WLT366564126345,288083222415,Minimum KYC,Active,09-06-2021,ESC1746845318914,10000,10000,10000,120000,10000,50352557798640
WLT251262272414,255218672356,Minimum KYC,Active,12-03-2024,ESC1265905839362,10000,10000,10000,120000,10000,3625387598169677
WLT082695482638,575555165757,Minimum KYC,Suspended,22-03-2024,ESC4976228273179,10000,10000,10000,120000,10000,595955273300
WLT177203520694,822190118928,Full KYC,Active,21-05-2022,ESC3049808857710,200000,200000,200000,2400000,200000,88305534597
WLT102880636224,507702952738,Minimum KYC,Active,08-09-2023,ESC5695465504780,10000,10000,10000,120000,10000,40334248861418
WLT694694184520,735082346881,Minimum KYC,Active,02-06-2022,ESC4751519818436,10000,10000,10000,120000,10000,73620896595601
WLT258634984876,364070232374,Full KYC,Active,06-09-2021,ESC5140425831064,200000,200000,200000,2400000,200000,13912543619588
WLT605634535916,985647822468,Full KYC,Active,25-12-2020,ESC7642912576039,200000,200000,200000,2400000,200000,9197011543658
WLT373155353576,931219012534,Full KYC,Active,16-06-2022,ESC5372188722343,200000,200000,200000,2400000,200000,56632994535465
WLT115717593131,649480487353,Minimum KYC,Closed,03-02-2024,ESC7784462651512,10000,10000,10000,120000,10000,1510226784879301
WLT218992807233,553451477456,Full KYC,Active,27-01-2023,ESC9636252424483,200000,200000,200000,2400000,200000,58495690823
WLT739719723000,923815045250,Full KYC,Active,28-03-2021,ESC7863186630118,200000,200000,200000,2400000,200000,34508300014462
WLT204468825670,758493594019,Full KYC,Active,10-07-2024,ESC6480142736250,200000,200000,200000,2400000,200000,9875403060070
WLT891035735904,595553434067,Minimum KYC,Active,22-09-2021,ESC1542128751856,10000,10000,10000,120000,10000,28395833260
WLT188026219618,615205311350,Full KYC,Active,11-10-2019,ESC4078713963721,200000,200000,200000,2400000,200000,64391236411
WLT960543631140,928807851096,Full KYC,Active,07-03-2024,ESC9237705697020,200000,200000,200000,2400000,200000,811392761594
WLT130562471232,284687819470,Minimum KYC,Active,08-05-2022,ESC6978994951700,10000,10000,10000,120000,10000,55009248656
WLT907423203877,928468492384,Full KYC,Active,04-05-2023,ESC2175499038561,200000,200000,200000,2400000,200000,9184807514791
WLT389534519575,198540051822,Minimum KYC,Active,07-06-2019,ESC9400703080846,10000,10000,10000,120000,10000,57086666435
WLT365206504417,164866540987,Minimum KYC,Active,24-01-2024,ESC7853653859171,10000,10000,10000,120000,10000,74103746358153
WLT332210844238,379374905805,Full KYC,Active,20-11-2023,ESC5120500108724,200000,200000,200000,2400000,200000,9170177600937
WLT565125376484,679669683046,Full KYC,Active,09-08-2022,ESC3569817155555,200000,200000,200000,2400000,200000,9159933355850
WLT152083695689,130586128289,Full KYC,Active,02-02-2024,ESC6660227487373,200000,200000,200000,2400000,200000,670630922114
WLT537203290026,160699250519,Full KYC,Active,18-11-2024,ESC5475353226689,200000,200000,200000,2400000,200000,661164828142
WLT338244432219,177042171445,Minimum KYC,Active,21-06-2023,ESC5411080469200,10000,10000,10000,120000,10000,296674776090
WLT470193813995,274118136706,Full KYC,Active,16-02-2021,ESC2190432627633,200000,200000,200000,2400000,200000,92358290335360
WLT340121567495,730724470143,Full KYC,Active,01-07-2023,ESC3329423730418,200000,200000,200000,2400000,200000,9190802309744
WLT365751188995,578084731975,Minimum KYC,Active,10-07-2018,ESC1891278708680,10000,10000,10000,120000,10000,676917657769
WLT232910550057,791454410774,Full KYC,Active,15-04-2016,ESC8451315837082,200000,200000,200000,2400000,200000,2255568532602
WLT231750972855,238090030024,Full KYC,Active,16-03-2022,ESC6225443859473,200000,200000,200000,2400000,200000,41071695462249
WLT200442787692,341562310814,Full KYC,Active,04-02-2023,ESC9511433528217,200000,200000,200000,2400000,200000,8552397807450824
WLT963062712950,632988984686,Minimum KYC,Active,23-12-2024,ESC7468454348778,10000,10000,10000,120000,10000,647490503599
WLT959067995918,465113294754,Full KYC,Active,03-11-2019,ESC2294767398274,200000,200000,200000,2400000,200000,566137055937
WLT595455944964,651318128571,Full KYC,Active,18-05-2022,ESC7877456101026,200000,200000,200000,2400000,200000,301210542514
WLT733802641198,892785630662,Full KYC,Active,01-08-2016,ESC1585882672515,200000,200000,200000,2400000,200000,81836408249
WLT658896147029,531812741218,Full KYC,Closed,21-08-2024,ESC7952136151331,200000,200000,200000,2400000,200000,72386688539613
WLT416698477596,289392167938,Full KYC,Active,30-03-2020,ESC8153994500076,200000,200000,200000,2400000,200000,40380590844
WLT833050881236,117122923227,Full KYC,Active,06-10-2024,ESC5727177085183,200000,200000,200000,2400000,200000,866725476932
WLT285490542509,419505049784,Full KYC,Active,24-06-2019,ESC5798883018527,200000,200000,200000,2400000,200000,67610129321
WLT077998929373,464732712267,Full KYC,Active,02-11-2021,ESC3072309921222,200000,200000,200000,2400000,200000,22777727691330
WLT945710776934,101708804760,Minimum KYC,Active,24-10-2024,ESC5996522990945,10000,10000,10000,120000,10000,678249036172
WLT151180900508,353555163447,Full KYC,Active,25-05-2017,ESC2259932466960,200000,200000,200000,2400000,200000,80804842815
WLT193220267923,995374375927,Full KYC,Active,07-02-2019,ESC7893142924141,200000,200000,200000,2400000,200000,137784322952
WLT901969246458,373368259976,Full KYC,Active,20-07-2023,ESC1842978243582,200000,200000,200000,2400000,200000,426728315406
WLT773740004815,444646442273,Full KYC,Active,27-01-2016,ESC7247917813289,200000,200000,200000,2400000,200000,29641277415
WLT763088609782,597191117776,Full KYC,Active,30-03-2024,ESC2685182599612,200000,200000,200000,2400000,200000,8353965860344230
WLT290652605280,326131674478,Full KYC,Active,27-01-2020,ESC3825807029451,200000,200000,200000,2400000,200000,60300438788552
WLT655778429488,317655330424,Full KYC,Active,19-01-2019,ESC4598890987825,200000,200000,200000,2400000,200000,283382630643
WLT182583504188,402278107705,Full KYC,Active,13-06-2024,ESC4335368518045,200000,200000,200000,2400000,200000,49559227686358
WLT138633986804,345805134906,Full KYC,Active,14-08-2021,ESC8953285118408,200000,200000,200000,2400000,200000,9158183653701
WLT953531680734,204367042202,Minimum KYC,Active,10-08-2024,ESC2664492901229,10000,10000,10000,120000,10000,756261067555
WLT210876345747,914857437477,Full KYC,Active,26-01-2022,ESC9409681879476,200000,200000,200000,2400000,200000,9106262278943
WLT436468244700,888822917916,Minimum KYC,Active,01-11-2023,ESC2817681978888,10000,10000,10000,120000,10000,3656552478977
WLT160330198603,436734096267,Minimum KYC,Active,21-08-2024,ESC8176977929800,10000,10000,10000,120000,10000,41234966682295
WLT359644640476,631514085147,Minimum KYC,Closed,03-11-2023,ESC1714074148829,10000,10000,10000,120000,10000,86865127217
WLT810334765221,877372943513,Full KYC,Active,03-01-2021,ESC4207292859425,200000,200000,200000,2400000,200000,41422303587866
WLT799205436609,269301592402,Minimum KYC,Active,07-11-2024,ESC7353269214218,10000,10000,10000,120000,10000,62483435651816
WLT539583234371,870630766808,Full KYC,Active,14-02-2022,ESC5267939764335,200000,200000,200000,2400000,200000,29167355224732
WLT375505878807,967684615720,Full KYC,Active,11-04-2024,ESC2368751020582,200000,200000,200000,2400000,200000,99653162585406
WLT992730704774,783079737997,Minimum KYC,Active,01-02-2021,ESC4353857553554,10000,10000,10000,120000,10000,872866676465
WLT920248866827,165118235103,Minimum KYC,Active,31-07-2023,ESC1640443184015,10000,10000,10000,120000,10000,35228617821197
WLT800218889530,263198732925,Minimum KYC,Active,26-04-2021,ESC6241887769940,10000,10000,10000,120000,10000,6601691567166267
WLT011329845540,755753425673,Minimum KYC,Active,07-04-2024,ESC4511851574425,10000,10000,10000,120000,10000,56888315394
WLT777118209927,359034435792,Full KYC,Active,17-02-2024,ESC7502219763315,200000,200000,200000,2400000,200000,3649612980536
WLT493937417164,536951657902,Minimum KYC,Active,03-10-2024,ESC6674126693686,10000,10000,10000,120000,10000,208641416447
WLT143034483645,378841452307,Minimum KYC,Active,25-03-2020,ESC2805229511081,10000,10000,10000,120000,10000,23358405196
WLT645390921613,426675585182,Minimum KYC,Active,12-01-2021,ESC4641658494589,10000,10000,10000,120000,10000,5535619696528147
WLT077369789734,997551496055,Full KYC,Active,07-08-2023,ESC1505156954945,200000,200000,200000,2400000,200000,57992688387466
WLT390025123308,605139837636,Full KYC,Active,25-11-2022,ESC8439987297826,200000,200000,200000,2400000,200000,3066690936503
WLT741280332128,780429720262,Full KYC,Closed,01-09-2024,ESC5248041521914,200000,200000,200000,2400000,200000,573838020725
WLT938717440398,355208587476,Minimum KYC,Active,09-01-2025,ESC6456126785338,10000,10000,10000,120000,10000,41274086402
WLT521785986157,288363433420,Minimum KYC,Active,02-07-2020,ESC7279242854932,10000,10000,10000,120000,10000,70828936882481
WLT106336810410,895113875332,Full KYC,Active,20-05-2021,ESC1288590854292,200000,200000,200000,2400000,200000,12701128236
WLT846681835406,551210817572,Minimum KYC,Active,04-10-2015,ESC4014662487044,10000,10000,10000,120000,10000,964623462717
WLT001274513660,976462839072,Minimum KYC,Active,18-07-2020,ESC1753271535581,10000,10000,10000,120000,10000,4835456727364557
WLT556046901366,108250599576,Minimum KYC,Active,06-03-2020,ESC9709953185807,10000,10000,10000,120000,10000,2241950523058
WLT287629999054,414121795722,Full KYC,Active,23-04-2023,ESC9412816810762,200000,200000,200000,2400000,200000,355101489291
WLT186017228310,708038104853,Minimum KYC,Active,06-12-2024,ESC4329734828710,10000,10000,10000,120000,10000,341765086102
WLT880089007093,780803790082,Full KYC,Active,27-04-2018,ESC3365171004375,200000,200000,200000,2400000,200000,55683128897452
WLT600207085468,884879075474,Minimum KYC,Active,12-11-2021,ESC3792852919398,10000,10000,10000,120000,10000,9126654009263
WLT073442352186,421268028264,Full KYC,Active,27-04-2024,ESC3293349805150,200000,200000,200000,2400000,200000,389054460210
WLT572308364131,838018636669,Minimum KYC,Active,25-01-2018,ESC6739885411968,10000,10000,10000,120000,10000,86905814954038
WLT998763353698,138800001878,Full KYC,Active,13-04-2024,ESC8228166377580,200000,200000,200000,2400000,200000,29079972434
WLT559519867720,684412256870,Full KYC,Active,07-12-2019,ESC1535689664385,200000,200000,200000,2400000,200000,4319959342177513
WLT348977678383,824580086953,Full KYC,Active,21-05-2023,ESC4335444636010,200000,200000,200000,2400000,200000,27334462657
WLT265463646195,363370737212,Full KYC,Closed,30-07-2022,ESC2438543894524,200000,200000,200000,2400000,200000,9210103591049
WLT045917900546,388886223240,Full KYC,Active,20-04-2017,ESC2667464660464,200000,200000,200000,2400000,200000,34234896018241
WLT522603860790,228022204290,Minimum KYC,Active,06-08-2024,ESC4654798085414,10000,10000,10000,120000,10000,9348008722693
WLT919484930518,629991167658,Minimum KYC,Active,23-11-2022,ESC1159205172170,10000,10000,10000,120000,10000,39766908347008
WLT997215116602,204733942516,Full KYC,Active,28-06-2022,ESC5939846966826,200000,200000,200000,2400000,200000,9245035288344
WLT771224492875,796895126323,Minimum KYC,Closed,04-08-2022,ESC7290289230583,10000,10000,10000,120000,10000,8900066912453
WLT354108577009,658426373820,Full KYC,Active,01-02-2024,ESC8734421434799,200000,200000,200000,2400000,200000,17602210106155
WLT709965542632,940370825913,Minimum KYC,Active,17-07-2020,ESC6590330951886,10000,10000,10000,120000,10000,52996878836149
WLT983982683747,497241309092,Full KYC,Active,08-02-2020,ESC1734741200578,200000,200000,200000,2400000,200000,8899766953086864
WLT388113368783,606142340073,Full KYC,Active,10-01-2017,ESC4933540123353,200000,200000,200000,2400000,200000,57501581223
WLT590859856936,960200384210,Minimum KYC,Active,11-09-2024,ESC6357440719270,10000,10000,10000,120000,10000,97056598631
WLT503303802770,572833012143,Full KYC,Active,07-05-2022,ESC3173379367429,200000,200000,200000,2400000,200000,61287870973040
WLT133401960547,999668322573,Full KYC,Active,04-02-2021,ESC3166682725271,200000,200000,200000,2400000,200000,7184772258119
WLT105173406508,774307156576,Full KYC,Active,18-08-2024,ESC6493801138659,200000,200000,200000,2400000,200000,16820338815
WLT906795947989,369458665853,Full KYC,Active,10-10-2023,ESC6034023575555,200000,200000,200000,2400000,200000,9221258221533
WLT227431971181,425470207121,Full KYC,Active,07-09-2022,ESC5553026306521,200000,200000,200000,2400000,200000,74413770838340
WLT109372320964,223520104944,Full KYC,Active,21-07-2022,ESC6127119939325,200000,200000,200000,2400000,200000,664398127336
WLT394256320430,874538960670,Minimum KYC,Active,20-09-2023,ESC5519663268515,10000,10000,10000,120000,10000,79585623338675
WLT610109573532,994342053506,Full KYC,Active,21-06-2021,ESC7249245364455,200000,200000,200000,2400000,200000,3643353137799201
WLT662648731421,506328301367,Minimum KYC,Active,17-02-2024,ESC7578494860529,10000,10000,10000,120000,10000,87745040529
WLT527540164988,458793004690,Minimum KYC,Active,23-05-2023,ESC3321268674584,10000,10000,10000,120000,10000,93668933303
WLT681104501347,775108434997,Minimum KYC,Suspended,03-09-2023,ESC1104403330199,10000,10000,10000,120000,10000,9123970138074
WLT430653141460,212529925289,Minimum KYC,Active,12-02-2023,ESC3094109967449,10000,10000,10000,120000,10000,51554847097
WLT214386185754,440571854207,Full KYC,Active,16-03-2017,ESC9588697603650,200000,200000,200000,2400000,200000,90813172575
WLT616369827664,396394882451,Minimum KYC,Active,13-02-2017,ESC8178469564485,10000,10000,10000,120000,10000,9142781153889
WLT062244139476,857463562426,Full KYC,Active,25-01-2021,ESC7913131778396,200000,200000,200000,2400000,200000,5807052596468
WLT768613138796,936543429829,Full KYC,Active,30-11-2021,ESC4733406126443,200000,200000,200000,2400000,200000,37355362088
WLT669637408434,929857997326,Full KYC,Active,28-12-2018,ESC5685304531945,200000,200000,200000,2400000,200000,66914341951
WLT508709290845,201589554257,Full KYC,Active,24-01-2019,ESC7663568241791,200000,200000,200000,2400000,200000,5191373918469034
WLT102327448063,474494078679,Minimum KYC,Active,09-07-2020,ESC6963975768688,10000,10000,10000,120000,10000,9240152567519
WLT763151727713,383763849237,Full KYC,Active,26-01-2024,ESC9618245593322,200000,200000,200000,2400000,200000,2310813155665801
